dataset,clas_model,metrics,result
mc2,S_CFS_NB,precision,0.4514953102453102
mc2,S_CFS_NB,recall,0.638
mc2,S_CFS_NB,pf,0.43819444444444444
mc2,S_CFS_NB,bal,0.5603018030897566
mc2,S_CFS_NB,gmean2,0.5671455708051202
mc2,S_CFS_NB,auc,0.641861111111111
jm1,S_CFS_NB,precision,0.43708366296201445
jm1,S_CFS_NB,recall,0.33831479897348166
jm1,S_CFS_NB,pf,0.14487725040916527
jm1,S_CFS_NB,bal,0.5113189818366553
jm1,S_CFS_NB,gmean2,0.5102100485395368
jm1,S_CFS_NB,auc,0.5967187742821582
kc3,S_CFS_NB,precision,0.26065925577690285
kc3,S_CFS_NB,recall,0.73
kc3,S_CFS_NB,pf,0.48591666666666666
kc3,S_CFS_NB,bal,0.5751570958677069
kc3,S_CFS_NB,gmean2,0.5897928707577895
kc3,S_CFS_NB,auc,0.6859565972222222
cm1,S_CFS_NB,precision,0.17726130364341092
cm1,S_CFS_NB,recall,0.6425
cm1,S_CFS_NB,pf,0.45282019704433496
cm1,S_CFS_NB,bal,0.545816060730107
cm1,S_CFS_NB,gmean2,0.5451489643473431
cm1,S_CFS_NB,auc,0.61145289408867
pc3,S_CFS_NB,precision,0.19890218901810247
pc3,S_CFS_NB,recall,0.695
pc3,S_CFS_NB,pf,0.4157122060470325
pc3,S_CFS_NB,bal,0.5632130818100499
pc3,S_CFS_NB,gmean2,0.5803398459978626
pc3,S_CFS_NB,auc,0.6396438969764838
pc4,S_CFS_NB,precision,0.19044369070705233
pc4,S_CFS_NB,recall,0.6223202614379085
pc4,S_CFS_NB,pf,0.37671875
pc4,S_CFS_NB,bal,0.6038660548379449
pc4,S_CFS_NB,gmean2,0.609252944585439
pc4,S_CFS_NB,auc,0.6473928972630719
mw1,S_CFS_NB,precision,0.13948236912576661
mw1,S_CFS_NB,recall,0.7916666666666665
mw1,S_CFS_NB,pf,0.6133399209486167
mw1,S_CFS_NB,bal,0.5105382739296348
mw1,S_CFS_NB,gmean2,0.5185413080154896
mw1,S_CFS_NB,auc,0.705233860342556
pc1,S_CFS_NB,precision,0.14196480012671475
pc1,S_CFS_NB,recall,0.8728571428571429
pc1,S_CFS_NB,pf,0.5587692307692308
pc1,S_CFS_NB,bal,0.5616837732994057
pc1,S_CFS_NB,gmean2,0.5886687909011146
pc1,S_CFS_NB,auc,0.6711693566849817
pc5,S_CFS_NB,precision,0.17065499493662553
pc5,S_CFS_NB,recall,0.8939555052790347
pc5,S_CFS_NB,pf,0.1792381523695261
pc5,S_CFS_NB,bal,0.8339227424968171
pc5,S_CFS_NB,gmean2,0.8515242944851635
pc5,S_CFS_NB,auc,0.9408653970563353
mc1,S_CFS_NB,precision,0.04905341714161942
mc1,S_CFS_NB,recall,0.779
mc1,S_CFS_NB,pf,0.398359767380386
mc1,S_CFS_NB,bal,0.6517525117696611
mc1,S_CFS_NB,gmean2,0.6725414414020269
mc1,S_CFS_NB,auc,0.7500785355537932
pc2,S_CFS_NB,precision,0.04559596143650976
pc2,S_CFS_NB,recall,0.685
pc2,S_CFS_NB,pf,0.34529299847793
pc2,S_CFS_NB,bal,0.5808104513141358
pc2,S_CFS_NB,gmean2,0.5591305196053296
pc2,S_CFS_NB,auc,0.7337680745814308
