dataset,class_model,metrics,result
mc2,__CFS_NB,precision,0.5256002886002887
mc2,__CFS_NB,recall,0.6299999999999999
mc2,__CFS_NB,pf,0.3708333333333333
mc2,__CFS_NB,bal,0.5895468097002137
mc2,__CFS_NB,gmean2,0.5987050988649859
mc2,__CFS_NB,auc,0.6557118055555555
jm1,__CFS_NB,precision,0.4333638131578963
jm1,__CFS_NB,recall,0.3504419731964642
jm1,__CFS_NB,pf,0.15702127659574466
jm1,__CFS_NB,bal,0.5168659804011396
jm1,__CFS_NB,gmean2,0.5170114479733076
jm1,__CFS_NB,auc,0.5967103483003597
kc3,__CFS_NB,precision,0.35862842712842713
kc3,__CFS_NB,recall,0.5308333333333334
kc3,__CFS_NB,pf,0.26512500000000006
kc3,__CFS_NB,bal,0.5967530668717639
kc3,__CFS_NB,gmean2,0.6013445289800791
kc3,__CFS_NB,auc,0.6764479166666666
cm1,__CFS_NB,precision,0.15219730269730272
cm1,__CFS_NB,recall,0.2305
cm1,__CFS_NB,pf,0.10849753694581278
cm1,__CFS_NB,bal,0.4361798954789047
cm1,__CFS_NB,gmean2,0.2957198178907934
cm1,__CFS_NB,auc,0.6061225369458129
pc3,__CFS_NB,precision,0.20896056932583726
pc3,__CFS_NB,recall,0.7000549450549449
pc3,__CFS_NB,pf,0.4120649496080627
pc3,__CFS_NB,bal,0.574734391927935
pc3,__CFS_NB,gmean2,0.593990866843082
pc3,__CFS_NB,auc,0.6439949977234412
pc4,__CFS_NB,precision,0.2801260889093707
pc4,__CFS_NB,recall,0.11650326797385623
pc4,__CFS_NB,pf,0.053984375
pc4,__CFS_NB,bal,0.37317746304400984
pc4,__CFS_NB,gmean2,0.2924851895193544
pc4,__CFS_NB,auc,0.662491064133987
mw1,__CFS_NB,precision,0.25166710584101887
mw1,__CFS_NB,recall,0.505
mw1,__CFS_NB,pf,0.2708300395256916
mw1,__CFS_NB,bal,0.5668862339837516
mw1,__CFS_NB,gmean2,0.5396804099199535
mw1,__CFS_NB,auc,0.705530303030303
pc1,__CFS_NB,precision,0.1448171461665568
pc1,__CFS_NB,recall,0.8457142857142859
pc1,__CFS_NB,pf,0.5323149038461539
pc1,__CFS_NB,bal,0.5593058907325803
pc1,__CFS_NB,gmean2,0.5856681351190237
pc1,__CFS_NB,auc,0.6728041723901099
pc5,__CFS_NB,precision,0.21482462537691693
pc5,__CFS_NB,recall,0.8588763197586726
pc5,__CFS_NB,pf,0.13435512897420515
pc5,__CFS_NB,bal,0.840275447302445
pc5,__CFS_NB,gmean2,0.8567657936883232
pc5,__CFS_NB,auc,0.9400187349407948
mc1,__CFS_NB,precision,0.09679034750374634
mc1,__CFS_NB,recall,0.5135
mc1,__CFS_NB,pf,0.178664816283373
mc1,__CFS_NB,bal,0.6138144076434129
mc1,__CFS_NB,gmean2,0.6210647117152726
mc1,__CFS_NB,auc,0.7602353819719799
pc2,__CFS_NB,precision,0.0508370965136153
pc2,__CFS_NB,recall,0.685
pc2,__CFS_NB,pf,0.30705669710806693
pc2,__CFS_NB,bal,0.5938901654689641
pc2,__CFS_NB,gmean2,0.5597384088429546
pc2,__CFS_NB,auc,0.7384503424657534
